context,subject,predicate,object,date,wiki
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P570>,"""1880-12-07T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/P20>,<http://www.wikidata.org/entity/statement/Q100268605-360a607e-4b40-2540-4ac1-c4d813ccaffc>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/P21>,<http://www.wikidata.org/entity/statement/Q100268605-17fe4a00-4176-e632-6570-568ef1a6c9ea>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-17fe4a00-4176-e632-6570-568ef1a6c9ea>,<http://www.wikidata.org/prop/statement/P21>,<http://www.wikidata.org/entity/Q6581097>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-5AF37C58-329B-4CE5-8E94-C74F36EBEE47>,<http://www.wikidata.org/prop/statement/P735>,<http://www.wikidata.org/entity/Q545971>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-0d901d5d-4c61-fefd-1983-dfe3a7e9436e>,<http://www.wikidata.org/prop/statement/P166>,<http://www.wikidata.org/entity/Q946960>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-6cd283fa-4c92-546b-aea3-bd28c8f64a41>,<http://www.wikidata.org/prop/statement/P640>,"""LH/1651/55""",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-e880d476-4b04-8a04-5511-e8ba51191f5d>,<http://www.wikidata.org/prop/statement/P569>,"""1804-02-06T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f38c5e13-4f67-bd59-5150-49cd1b1b8548>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f38c5e13-4f67-bd59-5150-49cd1b1b8548>,<http://www.wikidata.org/prop/statement/P106>,<http://www.wikidata.org/entity/Q193391>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-e2847b78-41ee-162a-3b42-8debcc1bec50>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-806a2749-4d15-4cfb-09d4-d1f0f6727f00>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f8bf90d9-456c-3e4d-e55e-c7837e194a97>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-360a607e-4b40-2540-4ac1-c4d813ccaffc>,<http://www.wikidata.org/prop/statement/P20>,<http://www.wikidata.org/entity/Q33959>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P1038>,<http://www.wikidata.org/entity/Q15970148>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/P39>,<http://www.wikidata.org/entity/statement/Q100268605-a017ec94-43ba-292f-b281-1587a8b4997d>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f873c29e-497a-6aef-74cb-7d7d6ada8fe1>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-0d901d5d-4c61-fefd-1983-dfe3a7e9436e>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Eugene Loiseau""@en",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P39>,<http://www.wikidata.org/entity/Q61235722>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P20>,<http://www.wikidata.org/entity/Q33959>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P19>,<http://www.wikidata.org/entity/Q527676>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-06f88550-427c-74e3-0851-1860c0799497>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-e880d476-4b04-8a04-5511-e8ba51191f5d>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-60d0ec93-4384-9979-1e3e-40d4da1635f1>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P39>,<http://www.wikidata.org/entity/Q95902857>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f873c29e-497a-6aef-74cb-7d7d6ada8fe1>,<http://www.wikidata.org/prop/statement/P1038>,<http://www.wikidata.org/entity/Q2833375>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-360a607e-4b40-2540-4ac1-c4d813ccaffc>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P21>,<http://www.wikidata.org/entity/Q6581097>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f8bf90d9-456c-3e4d-e55e-c7837e194a97>,<http://www.wikidata.org/prop/statement/P166>,<http://www.wikidata.org/entity/Q10855271>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-6217a932-430d-22a2-1af9-315cb7a8556f>,<http://www.wikidata.org/prop/qualifier/P580>,"""1830-01-01T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>",20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f38c5e13-4f67-bd59-5150-49cd1b1b8548>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-6cd283fa-4c92-546b-aea3-bd28c8f64a41>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://wikiba.se/ontology#BestRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-a017ec94-43ba-292f-b281-1587a8b4997d>,<http://www.wikidata.org/prop/statement/P39>,<http://www.wikidata.org/entity/Q95902857>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-f873c29e-497a-6aef-74cb-7d7d6ada8fe1>,<http://www.wikidata.org/prop/qualifier/P1039>,<http://www.wikidata.org/entity/Q13204680>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P31>,<http://www.wikidata.org/entity/Q5>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-806a2749-4d15-4cfb-09d4-d1f0f6727f00>,<http://wikiba.se/ontology#rank>,<http://wikiba.se/ontology#NormalRank>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/statement/Q100268605-06f88550-427c-74e3-0851-1860c0799497>,<http://www.wikidata.org/prop/qualifier/P1039>,<http://www.wikidata.org/entity/Q2914212>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/direct/P106>,<http://www.wikidata.org/entity/Q82955>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/prop/P31>,<http://www.wikidata.org/entity/statement/Q100268605-806a2749-4d15-4cfb-09d4-d1f0f6727f00>,20220502,wikidata
<http://www.wikidata.org/entity/Q100268605>,<http://www.wikidata.org/entity/Q100268605>,<http://wikiba.se/ontology#statements>,"""16""^^<http://www.w3.org/2001/XMLSchema#integer>",20220502,wikidata
